model,feature_set,validation_log_loss,validation_brier,test_log_loss,test_brier,validation_accuracy,test_accuracy,delta_vs_market_log_loss,delta_vs_market_brier,selected_threshold,test_trades,test_wins,test_losses,test_roi,test_pnl,test_max_drawdown,test_strike_rate,average_odds,average_predicted_edge,median_back_clv_ratio,median_back_clv_pct,positive_back_clv_rate,folds_beating_market,delta_vs_odds_only_log_loss,delta_vs_odds_only_brier,dominant_segment_dependency,ablation_status
logistic_regression,odds_only,0.9600247854146016,0.5705027360738513,0.9785512964327704,0.58220713090039,0.5400372439478585,0.5375291375291376,0.002713650812553925,0.0016941292648606776,0.01,799,257,542,-0.1324137296620776,-528.99285,555.6825,0.3216520650813517,3.788633541927409,0.05231115974576003,0.9933333333333333,-0.666666666666671,0.4793491864831039,1,0.0,0.0,False,NEUTRAL
logistic_regression,odds_elo,0.962171244247318,0.5717708807908386,0.9767620266457488,0.5811921263571825,0.5394165114835506,0.5370629370629371,0.0009243810255323837,0.0006791247216532126,0.01,1095,387,708,-0.04429061187214612,-242.49110000000002,433.1568,0.35342465753424657,3.744581735159817,0.0634952425968188,0.9947058823529412,-0.5294117647058783,0.4858447488584475,1,0.002146458832716469,0.0012681447169873294,False,DEGRADES
logistic_regression,odds_form,0.9620386608977748,0.5718880899034288,0.9801532905537889,0.5830033503214574,0.5381750465549349,0.5337995337995338,0.004315644933572393,0.002490348685928123,0.05,607,233,374,-0.12932553542009886,-392.50300000000004,416.76410000000004,0.38385502471169686,3.236741021416804,0.09310815344304811,0.9895238095238096,-1.0476190476190417,0.4497528830313015,1,0.002013875483173222,0.0013853538295774959,False,DEGRADES
logistic_regression,odds_goals,0.9625483060730418,0.5720053742101608,0.9780870032400545,0.5818729509966588,0.5418994413407822,0.5389277389277389,0.0022493576198380216,0.0013599493611294866,0.05,351,93,258,-0.09058384615384617,-158.97465000000003,221.69934999999998,0.26495726495726496,4.550643304843304,0.10266891867913978,0.9986486486486486,-0.13513513513514486,0.49572649572649574,0,0.0025235206584401926,0.0015026381363095753,False,DEGRADES
logistic_regression,odds_elo_form,0.9659535324045777,0.5742823253851882,0.9809250324070732,0.5836267169236419,0.5412787088764742,0.5333333333333333,0.005087386786856718,0.0031137152881125507,0.01,1504,563,941,-0.06474977393617021,-486.9183,577.8708999999998,0.37433510638297873,3.2644255319148936,0.08821666318117145,0.9884219858156028,-1.157801418439719,0.43816489361702127,0,0.005928746989976141,0.0037795893113369283,False,DEGRADES
logistic_regression,odds_team_strength_all,0.9715886493748382,0.5759785909921217,0.9886339869456364,0.5845721353745004,0.5456238361266295,0.5347319347319347,0.012796341325419958,0.004059133738971044,0.01,1610,593,1017,-0.08570045341614907,-689.88865,817.9445500000004,0.36832298136645963,3.317328695652174,0.09379957801542249,0.9890909090909091,-1.0909090909090868,0.446583850931677,0,0.011563863960236676,0.005475854918270406,False,DEGRADES
hist_gradient_boosting,odds_elo,0.9931839895703892,0.5880135535432776,1.0058335354758592,0.599438815729527,0.5152079453755432,0.5072261072261073,0.02999588985564272,0.018925814093997628,0.01,1919,697,1222,-0.06757494528400208,-648.3815999999999,918.8813500000006,0.3632100052110474,3.348016675351745,0.2502649306143518,0.987843137254902,-1.2156862745097974,0.44085461177696716,0,0.03315920415578766,0.017510817469426287,False,DEGRADES
hist_gradient_boosting,odds_form,1.040140141803784,0.6200523605756918,1.0808422320108617,0.6469509039017355,0.46989447548106766,0.4414918414918415,0.10500458639064525,0.06643790226620616,0.05,2065,601,1464,-0.08242514285714285,-851.0396,970.7067999999998,0.2910411622276029,3.815955254237288,0.5477823741018335,0.9858823529411764,-1.4117647058823568,0.41840193704600487,0,0.08011535638918232,0.04954962450184053,False,DEGRADES
hist_gradient_boosting,odds_goals,0.9875810907378717,0.5870910168456067,1.0006869642290286,0.5966666353726087,0.5195530726256983,0.5081585081585082,0.02484931860881212,0.016153633737079343,0.1,1253,406,847,-0.11217653631284916,-702.786,857.5707000000008,0.3240223463687151,3.673781005586592,0.3080497724593264,0.9871428571428571,-1.28571428571429,0.44373503591380686,0,0.027556305323270136,0.016588280771755448,False,DEGRADES
hist_gradient_boosting,odds_elo_form,1.0103129329062432,0.6002771357794208,1.0435341278718417,0.6217409968621211,0.5077591558038486,0.4745920745920746,0.06769648225162528,0.04122799522659182,0.05,1970,562,1408,-0.11156513705583757,-1098.9166,1343.6965999999998,0.28527918781725886,3.7927661928934007,0.4370411229284593,0.9861538461538462,-1.3846153846153841,0.43248730964467,0,0.05028814749164168,0.0297743997055695,False,DEGRADES
hist_gradient_boosting,odds_team_strength_all,1.0019066988742193,0.5950651247608716,1.0370512286769722,0.6178502857750598,0.5145872129112352,0.48391608391608393,0.06121358305675573,0.037337284139530524,0.075,1875,544,1331,-0.09285448533333332,-870.5107999999999,1170.0866999999998,0.29013333333333335,3.8020630399999997,0.41939760198585585,0.9860606060606061,-1.3939393939393918,0.43306666666666666,0,0.04188191345961778,0.02456238868702032,False,DEGRADES
